iter	Passed	Remaining
411	4118	1359
412	4126	1348
413	4134	1338
414	4143	1327
415	4153	1317
416	4161	1307
417	4169	1296
418	4177	1286
419	4186	1275
420	4194	1265
421	4202	1254
422	4210	1244
423	4218	1233
424	4228	1223
425	4235	1213
426	4244	1202
427	4254	1192
428	4262	1182
429	4270	1171
430	4278	1161
431	4286	1150
432	4295	1140
433	4302	1130
434	4310	1119
435	4319	1109
436	4328	1099
437	4337	1089
438	4346	1079
439	4354	1068
440	4362	1058
441	4370	1048
442	4378	1037
443	4386	1027
444	4394	1017
445	4402	1006
446	4410	996
447	4418	986
448	4427	976
449	4436	966
450	4444	955
451	4454	946
452	4464	936
453	4472	926
454	4480	915
455	4489	905
456	4498	895
457	4506	885
458	4513	875
459	4526	866
460	4536	856
461	4546	846
462	4558	836
463	4568	827
464	4577	817
465	4586	807
466	4595	797
467	4605	787
468	4614	777
469	4623	767
470	4630	757
471	4641	747
472	4649	737
473	4657	727
474	4666	717
475	4675	707
476	4684	697
477	4692	687
478	4701	677
479	4710	667
480	4719	657
481	4727	647
482	4734	637
483	4742	627
484	4750	617
485	4759	607
486	4767	597
487	4774	586
488	4783	577
489	4791	567
490	4799	557
491	4809	547
492	4818	537
493	4826	527
494	4834	517
495	4842	507
496	4850	497
497	4857	487
498	4866	477
499	4875	468
500	4883	458
501	4891	448
502	4899	438
503	4907	428
504	4915	418
505	4923	408
506	4931	398
507	4939	388
508	4946	379
509	4954	369
510	4963	359
511	5021	353
512	5041	343
513	5058	334
514	5067	324
515	5076	314
516	5085	304
517	5094	295
518	5102	285
519	5111	275
520	5119	265
521	5127	255
522	5137	245
523	5145	235
524	5153	225
525	5162	215
526	5170	206
527	5177	196
528	5184	186
529	5191	176
530	5200	166
531	5208	156
532	5216	146
533	5224	136
534	5231	127
535	5240	117
536	5249	107
537	5256	97
538	5264	87
539	5271	78
540	5278	68
541	5286	58
542	5293	48
543	5301	38
544	5308	29
545	5315	19
546	5322	9
547	5330	0
