iter	RMSE
290	0.197820036
291	0.197774241
292	0.1977217628
293	0.1976420301
294	0.1975721042
295	0.1975059128
296	0.1974536241
297	0.1974107824
298	0.1973220221
299	0.1972484665
300	0.1972113334
301	0.1971192123
302	0.1970569979
303	0.1970094759
304	0.1969353799
305	0.1968583023
306	0.1968030651
307	0.1966987201
308	0.1966436217
309	0.196573273
310	0.1964953371
311	0.1964278676
312	0.1963864163
313	0.1962953182
314	0.1962269427
315	0.1961636655
316	0.1961050204
317	0.1960367518
318	0.1959173339
319	0.1958307513
320	0.1957358065
321	0.1956836021
322	0.1956426219
323	0.1955697624
324	0.1955029303
325	0.1954530032
326	0.1953848001
327	0.1953329536
328	0.1952781949
329	0.1952311691
330	0.1951737289
331	0.1950843763
332	0.1950203869
333	0.194947149
334	0.1948933817
335	0.194817705
336	0.1947924038
337	0.1946912069
338	0.1946138313
339	0.1945711294
340	0.1945393583
341	0.1944704797
342	0.1944334434
343	0.1943552555
344	0.1942967795
345	0.1941827384
346	0.1940948672
347	0.1940389191
348	0.1940004642
349	0.1939710429
350	0.1939232409
351	0.1938461226
352	0.1937808523
353	0.1937146764
354	0.1936759244
355	0.1936121421
356	0.1935798857
357	0.1935055839
358	0.1933912845
359	0.1933237949
360	0.1932667168
361	0.1932099416
362	0.1931454828
363	0.1930889902
364	0.1929746115
365	0.1929010577
366	0.1928366859
367	0.1927673384
368	0.1926951269
369	0.1926441489
370	0.1925652401
371	0.1925010048
372	0.1924485902
373	0.1923940093
374	0.1923234498
375	0.1922617991
376	0.192209838
377	0.1921446419
378	0.1920957613
379	0.1920477964
380	0.1919757954
381	0.1919189318
382	0.1918832786
383	0.191823221
384	0.1917651618
385	0.1916908427
386	0.1916192015
387	0.1915344622
388	0.1914838223
389	0.1913937315
390	0.1913181719
391	0.1912598174
392	0.1911959539
393	0.1911441545
394	0.1910977012
395	0.1909939244
396	0.190931904
397	0.1908836549
398	0.1908365608
399	0.1907625558
400	0.1907048394
401	0.1906083741
402	0.1905441158
403	0.1904672476
404	0.1903652362
405	0.1902978992
406	0.1902134301
407	0.190155026
408	0.1900981082
409	0.1900517143
410	0.189994118
411	0.1899254439
412	0.1898232612
413	0.1897646787
414	0.1896788804
415	0.1895973396
416	0.1895410377
417	0.1894508713
418	0.1893689096
419	0.1892986306
420	0.1892488469
421	0.1891955778
422	0.1891483809
423	0.1890941118
424	0.1890322967
425	0.1889637221
426	0.1888941679
427	0.1888535751
428	0.1888144994
429	0.1887585602
430	0.1886861477
431	0.1886394815
432	0.1885553111
433	0.1885050414
434	0.1884421986
435	0.1883484816
436	0.1882912704
437	0.1882082779
438	0.1881197393
439	0.1880387097
440	0.1879810955
441	0.187912035
442	0.1878591958
443	0.1877869348
444	0.1877293091
445	0.1876571765
446	0.1876016567
447	0.1875242043
448	0.1874661491
449	0.1873839465
450	0.1873172765
451	0.187256622
452	0.1872093487
453	0.187133749
454	0.1870660333
455	0.1869802528
456	0.1869126863
457	0.1868725716
458	0.1868478741
459	0.1868065422
460	0.1867827474
461	0.1866997783
462	0.1866613836
463	0.1866183439
464	0.1865234287
465	0.1864411916
466	0.1864014671
467	0.1863519455
468	0.1862884764
469	0.1862156423
470	0.1861919087
471	0.1861257171
472	0.1860720018
473	0.1860382372
474	0.1859766444
475	0.1859367554
476	0.185894527
477	0.1858403832
478	0.1857713315
479	0.1857087711
480	0.1856614962
481	0.1856099862
482	0.1855534239
483	0.1854956878
484	0.1854443058
485	0.1853710115
486	0.1852966222
487	0.1852645959
488	0.1851997338
489	0.185135923
490	0.1850856716
491	0.1850161694
492	0.1849280997
493	0.1848475918
494	0.1847963007
495	0.1847527667
496	0.1846548771
497	0.1846063159
498	0.1845073223
499	0.1844438206
500	0.1843676828
501	0.1843290944
502	0.1842543675
503	0.1841532367
504	0.1840797507
505	0.1840230571
506	0.18395329
507	0.1838885163
508	0.1838404703
509	0.1837937074
510	0.1837480747
511	0.18373023
512	0.1836575453
513	0.1835946133
514	0.1835362608
515	0.1834566367
516	0.1833653064
517	0.1832960401
518	0.1832391409
519	0.1831709194
520	0.1831067062
521	0.1830374881
522	0.1829758701
523	0.1829293279
524	0.1828613728
525	0.1827876401
526	0.1827000331
527	0.1826438179
528	0.1825557974
529	0.1824896573
530	0.182416355
531	0.1824070126
532	0.1823363804
533	0.182246163
534	0.1821764461
535	0.1820875475
536	0.1820316103
537	0.1820097196
538	0.1819396605
539	0.1818941264
540	0.1818387745
541	0.1817671155
542	0.1817020323
543	0.1816490803
544	0.1815843322
545	0.1815326616
546	0.1814764083
547	0.1814108999
